algo,feature_set,threshold,f1_positive,recall_positive,precision_positive,accuracy
bagging,reduced,0.1,0.14979977059143137,0.9994629430719656,0.08096760860579956,0.08407223535022872
bagging,reduced,0.15,0.15161125319693095,0.9948979591836735,0.082057983211889,0.1010687883452208
bagging,reduced,0.2,0.15561468866418307,0.9814715359828142,0.08450671660770849,0.14009148654800876
bagging,reduced,0.25,0.1612399592714108,0.956766917293233,0.08803834844703615,0.19637088906714073
bagging,reduced,0.3,0.16968579473251438,0.9143394199785178,0.09352083276113049,0.2775814598824983
bagging,reduced,0.35,0.1810782150124674,0.84828141783029,0.10135720473577822,0.3805580245842999
bagging,reduced,0.4,0.1950065162219631,0.7634264232008593,0.11177950774553747,0.49114401543564506
bagging,reduced,0.45,0.20989929290764944,0.657626208378088,0.12487889449798582,0.6002991740195547
bagging,reduced,0.5,0.22465001372495197,0.5494092373791621,0.14119108412117867,0.6938235740455698
bagging,reduced,0.55,0.23352301375783333,0.4352846401718582,0.1595629491091643,0.7693108157911852
bagging,reduced,0.6,0.2287531316245905,0.3187432867883996,0.17838893898406974,0.8264790686582696
bagging,reduced,0.7,0.16526370039512112,0.12916219119226638,0.22937529804482595,0.8946603941292518
bagging,reduced,0.8,0.03934426229508197,0.020945220193340493,0.3236514522821577,0.9174236347475448
bagging,reduced,0.9,0.0,0.0,0.0,0.9192663732737876
bagging,full,0.05,0.14954622118705324,1.0,0.08081597222222223,0.08175255273484076
bagging,full,0.1,0.1520592204817799,0.9983888292158969,0.082296693080703,0.10104710906844147
bagging,full,0.15,0.1600017396220671,0.9879162191192267,0.08705013841894801,0.16255121729139116
bagging,full,0.2,0.17257473850499055,0.9680451127819549,0.0947313099461306,0.25056908101545733
bagging,full,0.25,0.186214909081084,0.9253490870032224,0.10352389821852374,0.3470418626834609
bagging,full,0.3,0.20332065671088026,0.882921589688507,0.11488871029735491,0.44139007522709045
bagging,full,0.35,0.2210138446678353,0.829484425349087,0.12749184861116844,0.5279337481301624
bagging,full,0.4,0.23917871359731824,0.7663802363050484,0.14170100789434487,0.6063693715177662
bagging,full,0.45,0.25581740032607087,0.6952201933404941,0.1567475933886299,0.6734450538730028
bagging,full,0.5,0.26877283979724154,0.6122448979591837,0.17217942908926145,0.7310468922756737
bagging,full,0.55,0.2844349680170576,0.5373254564983888,0.19340808041755267,0.7817330413857394
bagging,full,0.6,0.2917753434185359,0.4505907626208378,0.21573669323733607,0.8234006113556052
bagging,full,0.7,0.26465388276893786,0.26127819548872183,0.2681179388261229,0.8827801504541809
bagging,full,0.8,0.1640675069429609,0.10311493018259936,0.4012539184952978,0.9151689899624948
bagging,full,0.9,0.006415396952686447,0.00322234156820623,0.7058823529411765,0.9194181282112429
random_forest,reduced,0.05,0.14940522757818298,1.0,0.08073362672621241,0.08073362672621241
random_forest,reduced,0.1,0.14940522757818298,1.0,0.08073362672621241,0.08073362672621241
random_forest,reduced,0.15,0.14940107145006923,0.9997314715359829,0.08073295023311287,0.08095041949400568
random_forest,reduced,0.2,0.15025676276737698,0.9978517722878625,0.0812453539726267,0.08881999696490125
random_forest,reduced,0.25,0.15362173876802535,0.9897959183673469,0.08327308874028556,0.11947449433086912
random_forest,reduced,0.3,0.1597714386959603,0.9685821697099892,0.08706671816162982,0.17753159754590586
random_forest,reduced,0.35,0.16928284116550574,0.9266917293233082,0.09314942776938026,0.26572289548420663
random_forest,reduced,0.4,0.1826486658379347,0.84828141783029,0.10234230731849549,0.3870618076180979
random_forest,reduced,0.45,0.197498921949116,0.7379162191192267,0.11400597411218055,0.5158583909640775
random_forest,reduced,0.5,0.21256264930441707,0.6092910848549946,0.12873758865248228,0.6355496780627399
random_forest,reduced,0.55,0.2169456338393668,0.4489795918367347,0.14302822925577416,0.7383311292735274
random_forest,reduced,0.6,0.21648004593741027,0.3037056928034372,0.16817843866171003,0.8225117610076528
random_forest,reduced,0.7,0.09455958549222798,0.05880773361976369,0.24118942731277532,0.9090771131875041
random_forest,reduced,0.8,0.0,0.0,0.0,0.9192663732737876
random_forest,reduced,0.9,0.0,0.0,0.0,0.9192663732737876
random_forest,full,0.05,0.14940522757818298,1.0,0.08073362672621241,0.08073362672621241
random_forest,full,0.1,0.14940522757818298,1.0,0.08073362672621241,0.08073362672621241
random_forest,full,0.15,0.14958415364217123,0.9997314715359829,0.08083988361488688,0.0822728553775446
random_forest,full,0.2,0.15220195319697807,0.9981203007518797,0.08238214499434827,0.10228282784486309
random_forest,full,0.25,0.15999131661782265,0.9895273899033298,0.08703148248742354,0.1611203850239556
random_forest,full,0.3,0.17372227579556412,0.9675080558539205,0.09542854115902108,0.2569644676653587
random_forest,full,0.35,0.19182819690419747,0.923469387755102,0.10703059350782733,0.3717995967654519
random_forest,full,0.4,0.2144005358338915,0.8595596133190118,0.12247474747474747,0.49144752531055563
random_forest,full,0.45,0.23871581647428736,0.7747046186895811,0.14109649337311098,0.6010796279836105
random_forest,full,0.5,0.26152468257731415,0.6664876476906552,0.16267942583732056,0.6961215773841785
random_forest,full,0.55,0.2826889585510275,0.5448442534908701,0.19085692785250682,0.7767684870032736
random_forest,full,0.6,0.29138311128151057,0.40816326530612246,0.22656133551945148,0.8397251067704381
random_forest,full,0.7,0.20211777819060003,0.1460794844253491,0.32790837854128996,0.9068875062327921
random_forest,full,0.8,0.029889879391714735,0.015306122448979591,0.6333333333333333,0.9197866759164914
random_forest,full,0.9,0.0,0.0,0.0,0.9192663732737876
xgboost,reduced,0.05,0.14972745740893456,0.9994629430719656,0.08092535820668363,0.08355193270752488
xgboost,reduced,0.1,0.15141067749240092,0.9965091299677766,0.08192957280052986,0.09820712381034968
xgboost,reduced,0.15,0.1549197782041281,0.9865735767991407,0.08405976159425263,0.13102954885425022
xgboost,reduced,0.2,0.16038828034553387,0.9672395273899034,0.08744416391532336,0.1824311140980337
xgboost,reduced,0.25,0.1677279826985462,0.9371643394199786,0.09210630492729144,0.24913824874802176
xgboost,reduced,0.3,0.17844603468146122,0.8939312567132116,0.0991157293000268,0.33546512888330043
xgboost,reduced,0.35,0.1915312653865091,0.8356605800214822,0.10816071180314195,0.43044204045353046
xgboost,reduced,0.4,0.20531961153790404,0.7607411385606875,0.11867459785522788,0.5245734602293668
xgboost,reduced,0.45,0.21751216122307157,0.6723952738990333,0.12974093264248704,0.6094261495436513
xgboost,reduced,0.5,0.22822308967434896,0.5730397422126745,0.14248514388729386,0.6871029982439786
xgboost,reduced,0.55,0.24028363101210784,0.4822771213748657,0.16,0.7537884536171874
xgboost,reduced,0.6,0.24031929347826086,0.37996777658431796,0.17573273720814706,0.8060571899321438
xgboost,reduced,0.7,0.21111269818597342,0.1984425349087003,0.22551113823619165,0.880265354347779
xgboost,reduced,0.8,0.07724523033969288,0.04457572502685284,0.289198606271777,0.9140199882931905
xgboost,reduced,0.9,0.0042780748663101605,0.0021482277121374865,0.5,0.9192663732737876
xgboost,full,0.05,0.1520503700069504,0.998657357679914,0.08228968447139001,0.1007435991935309
xgboost,full,0.1,0.16020851433536057,0.9903329752953813,0.08715379525474998,0.16179244260411474
xgboost,full,0.15,0.17173013835401513,0.9699248120300752,0.09420478848260393,0.24465063845470114
xgboost,full,0.2,0.1856629870993483,0.9371643394199786,0.10303799710666942,0.33628894140091486
xgboost,full,0.25,0.20271444407825748,0.9084317937701396,0.11408626445890803,0.42309276562533876
xgboost,full,0.3,0.21988064791133846,0.8657357679914071,0.12593258075856412,0.5040431851193444
xgboost,full,0.35,0.23656585365853658,0.8139097744360902,0.1383955070544724,0.5758883083660329
xgboost,full,0.4,0.2525324966382788,0.7564446831364124,0.15156569460884536,0.638476380427949
xgboost,full,0.45,0.2711106489184692,0.7000537056928035,0.16810678359556358,0.6960998981073991
xgboost,full,0.5,0.28491347794296856,0.6278195488721805,0.18426860025220682,0.7455720077178225
xgboost,full,0.55,0.2976995940460081,0.5612244897959183,0.20257826887661143,0.78622065167906
xgboost,full,0.6,0.30386136115083706,0.4849624060150376,0.22124219037118706,0.8206039846510721
xgboost,full,0.7,0.29785670545009185,0.32653061224489793,0.2738122044584553,0.8757127062241203
xgboost,full,0.8,0.23520710059171598,0.17078410311493017,0.37767220902612825,0.910334511240705
xgboost,full,0.9,0.06025019147306612,0.03168635875402793,0.6113989637305699,0.9201985821752986
